date staffid hours_worked
2020-11-01 826028 9
2020-11-01 826029 10
2020-11-01 826030 8
2020-11-01 826031 8
2020-11-02 826028 7
2020-11-02 826029 8
2020-11-02 826030 10
2020-11-02 826031 9
2020-11-05 826028 13
2020-11-05 826029 10
2020-11-05 826030 9
2020-11-05 826031 8
2020-11-06 826028 8
2020-11-06 826029 8
2020-11-06 826030 9
2020-11-06 826031 8
2020-11-07 826028 8
2020-11-07 826029 11
2020-11-07 826030 9
2020-11-07 826031 7
2020-11-08 826028 8
2020-11-08 826029 10
2020-11-08 826030 12
2020-11-08 826031 8
2020-11-09 826028 7
2020-11-09 826029 10
2020-11-09 826030 10
2020-11-09 826031 8
2020-11-12 826028 8
2020-11-12 826029 8
2020-11-12 826030 8
2020-11-12 826031 8
2020-11-13 826028 8
2020-11-13 826029 10
2020-11-13 826030 11
2020-11-13 826031 8
2020-11-14 826028 8
2020-11-14 826029 8
2020-11-14 826030 9
2020-11-14 826031 8
2020-11-15 826028 7
2020-11-15 826029 5
2020-11-15 826030 9
2020-11-15 826031 8
2020-11-16 826028 8
2020-11-16 826029 9
2020-11-16 826030 9
2020-11-16 826031 8
2020-11-19 826028 8
2020-11-19 826029 10
2020-11-19 826030 9
2020-11-19 826031 8
2020-11-20 826028 8
2020-11-20 826029 10
2020-11-20 826030 9
2020-11-20 826031 8
2020-11-21 826028 8
2020-11-21 826029 10
2020-11-21 826030 9
2020-11-21 826031 8
2020-11-22 826028 8
2020-11-22 826029 10
2020-11-22 826030 9
2020-11-22 826031 8
2020-11-23 826028 8
2020-11-23 826029 10
2020-11-23 826030 9
2020-11-23 826031 8
2020-11-26 826028 8
2020-11-26 826029 10
2020-11-26 826030 9
2020-11-26 826031 8
2020-11-27 826028 8
2020-11-27 826029 10
2020-11-27 826030 9
2020-11-27 826031 8
2020-11-28 826028 8
2020-11-28 826029 10
2020-11-28 826030 9
2020-11-28 826031 8
2020-11-29 826028 8
2020-11-29 826029 10
2020-11-29 826030 9
2020-11-29 826031 8
2020-11-30 826028 8
2020-11-30 826029 10
2020-11-30 826030 9
2020-11-30 826031 8
2020-12-03 826028 8
2020-12-03 826029 10
2020-12-03 826030 9
2020-12-03 826031 8
2020-12-04 826028 8
2020-12-04 826029 10
2020-12-04 826030 9
2020-12-04 826031 8
2020-12-05 826028 8
2020-12-05 826029 10
2020-12-05 826030 9
2020-12-05 826031 8
2020-12-06 826028 8
2020-12-06 826029 10
2020-12-06 826030 9
2020-12-06 826031 8
2020-12-07 826028 8
2020-12-07 826029 10
2020-12-07 826030 9
2020-12-07 826031 8
2020-12-10 826028 8
2020-12-10 826029 10
2020-12-10 826030 9
2020-12-10 826031 8
2020-12-12 826028 8
2020-12-11 826029 10
2020-12-11 826030 9
2020-12-11 826031 8
2020-12-12 826028 8
2020-12-12 826029 10
2020-12-12 826030 9
2020-12-12 826031 8
2020-12-13 826028 8
2020-12-13 826029 10
2020-12-13 826030 9
2020-12-13 826031 8
2020-12-14 826028 8
2020-12-14 826029 10
2020-12-14 826030 9
2020-12-14 826031 8
2020-12-17 826028 8
2020-12-17 826029 10
2020-12-17 826030 9
2020-12-17 826031 8
2020-12-18 826028 8
2020-12-18 826029 10
2020-12-18 826030 9
2020-12-18 826031 8
2020-12-19 826028 8
2020-12-19 826029 10
2020-12-19 826030 9
2020-12-19 826031 8
2020-12-20 826028 8
2020-12-20 826029 10
2020-12-20 826030 9
2020-12-20 826031 8
2020-12-21 826028 8
2020-12-21 826029 10
2020-12-21 826030 9
2020-12-21 826031 8
2020-12-24 826028 8
2020-12-24 826029 10
2020-12-24 826030 9
2020-12-24 826031 10
2020-12-25 826028 10
2020-12-25 826029 8
2020-12-25 826030 9
2020-12-25 826031 8
2020-12-26 826028 8
2020-12-26 826029 10
2020-12-26 826030 7
2020-12-26 826031 8
2020-12-27 826028 8
2020-12-27 826029 11
2020-12-27 826030 9
2020-12-27 826031 8
2020-12-28 826028 8
2020-12-28 826029 8
2020-12-28 826030 8
2020-12-28 826031 8
2020-12-31 826028 8
2020-12-31 826029 8
2020-12-31 826030 8
2020-12-31 826031 8
